player_name,raptor_total,salary_millions,minutes,value_score
Jose Alvarado,4.871996272941223,1.563518,1310.0,3.11604744744942
Luke Kornet,4.362814177168128,2.133278,804.0,2.045122190904387
Sam Hauser,3.344768093031841,1.637966,1290.0,2.0420253491414604
Desmond Bane,4.027976711935018,2.13024,1841.0,1.8908558246653044
Immanuel Quickley,3.898120541987425,2.31624,2344.0,1.682951914303969
Mike Muscala,5.714749771395685,3.5,945.0,1.6327856489701957
Kenrich Williams,2.564432181223153,2.0,1206.0,1.2822160906115765
Max Strus,2.285774047056005,1.815677,2272.0,1.2589100633295487
Tre Jones,2.215927076887829,1.782621,1984.0,1.2430724629003187
Austin Reaves,1.687406682270912,1.563518,1843.0,1.0792371320770928
Josh Okogie,2.073032139378038,1.968175,1350.0,1.0532763292786658
Brandon Clarke,3.012716113013401,4.343919,1090.0,0.69354794898648
Andre Drummond,1.905928657365359,3.2,849.0,0.5956027054266747
Alex Caruso,5.347803024607293,9.03,1575.0,0.5922262485722363
Wesley Matthews,1.704554526512909,2.905851,820.0,0.5865939191351892
Terence Davis,2.237031680715432,4.0,841.0,0.559257920178858
Gabe Vincent,0.9428371153240026,1.815677,1759.0,0.5192757937254273
Darius Garland,4.501219705269692,8.920794,2447.0,0.5045761291281574
Cameron Johnson,2.748894287217999,5.887899,1199.0,0.46687184804256987
Jarred Vanderbilt,1.885530549654569,4.374,1254.0,0.4310769432223523
